"Species" "Domain" "Min.sup" "Max.sup" "Classif" "NaCl." "Unit" "Year" "Genus" "Family" "Order" "Class" "Phylum" "Kingdom"
"689" "Limimaricola pyoseonensis" "B" 0.171115674195756 2.05338809034908 "No Class" "s" "p" 2010 "Limimaricola" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"690" "Methanocalculus halotolerans" "A" 0 2.05338809034908 "Tolerant" "s" "p" 1998 "Methanocalculus" "Methanocalculaceae" "Methanomicrobiales" "Methanomicrobia" "Methanobacteriota" "Methanobacteriati"
"691" "Psychrobacter halodurans" "B" 0 2.05338809034908 "Slight" "s" "p" 2022 "Psychrobacter" "Moraxellaceae" "Pseudomonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"692" "Haloactinopolyspora alkaliphila" "B" 0 2.13894592744695 "Tolerant" "s" "p" 2014 "Haloactinopolyspora" "Jiangellaceae" "Jiangellales" "Actinomycetes" "Actinomycetota" "Bacillati"
"693" "Prauserella oleivorans" "B" 0 2.13894592744695 "No Class" "s" "p" 2017 "Prauserella" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"694" "Amycolatopsis salitolerans" "B" 0 2.22450376454483 "Tolerant" "s" "p" 2012 "Amycolatopsis" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"695" "Phytoactinopolyspora alkaliphila" "B" 0 2.22450376454483 "Tolerant" "s" "p" 2016 "Phytoactinopolyspora" "Jiangellaceae" "Jiangellales" "Actinomycetes" "Actinomycetota" "Bacillati"
"696" "Albimonas donghaensis" "B" 0 2.39561943874059 "Moderate" "s" "p" 2008 "Albimonas" "Paracoccaceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"697" "Alteromonas litorea" "B" 0.0855578370978782 2.39561943874059 "Slight" "s" "p" 2004 "Alteromonas" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"698" "Evansella polygoni" "B" 0.513347022587269 2.39561943874059 "Moderate" "s" "p" 2008 "Evansella" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"699" "Halomonas kribbensis" "B" 0.171115674195756 2.39561943874059 "Moderate" "s" "p" 2007 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"701" "Kaustia mangrovi" "B" 0.342231348391513 2.39561943874059 "Moderate" "s" "p" 2021 "Kaustia" "Parvibaculaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"703" "Serinicoccus profundi" "B" 0 2.39561943874059 "Moderate" "s" "p" 2011 "Serinicoccus" "Ornithinimicrobiaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"704" "Alcanivorax sediminis" "B" 0 2.56673511293635 "Moderate" "s" "p" 2020 "Alcanivorax" "Alcanivoracaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"705" "Alcanivorax xiamenensis" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p" 2023 "Alcanivorax" "Alcanivoracaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"706" "Aliidiomarina sedimenti" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p" 2017 "Aliidiomarina" "Idiomarinaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"707" "Alkalibacterium olivapovliticum" "B" 0.513347022587269 2.56673511293635 "Tolerant" "s" "p" 2001 "Alkalibacterium" "Carnobacteriaceae" " Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"708" "Alteribacter natronophilus" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2020 "Alteribacter" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"711" "Bacillus chungangensis" "B" 0 2.56673511293635 "No Class" "s" "p" 2010 "Bacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"712" "Haloechinothrix halophila" "B" 0.171115674195756 2.56673511293635 "No Class" "s" "p" 2010 "Haloechinothrix" "Pseudonocardiaceae" "Pseudonocardiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"713" "Halomonas caseinilytica" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2008 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"714" "Halomonas lysinitropha" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p" 2020 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"715" "Halomonas subterranea" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2007 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"716" "Halomonas zincidurans" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2013 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"717" "Idiomarina ramblicola" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2004 "Idiomarina" "Idiomarinaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"718" "Leeuwenhoekiella aequorea" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2005 "Leeuwenhoekiella" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"719" "Marinobacter pelagius" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2008 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"720" "Marivibrio halodurans" "B" 0.342231348391513 2.56673511293635 "Tolerant" "s" "p" 2017 "Marivibrio" "Kiloniellaceae" "Rhodospirillales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"721" "Nesterenkonia natronophila" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p" 2019 "Nesterenkonia" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"722" "Palleronia marisminoris" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2005 "Palleronia" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"723" "Paracoccus homiensis" "B" 0 2.56673511293635 "Moderate" "s" "p" 2006 "Paracoccus" "Paracoccaceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"724" "Paraliobacillus salinarum" "B" 0.342231348391513 2.56673511293635 "Slight" "s" "p" 2021 "Paraliobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"725" "Paraliobacillus sediminis" "B" 0 2.56673511293635 "Slight" "s" "p" 2017 "Paraliobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"726" "Planococcus salinus" "B" 0.513347022587269 2.56673511293635 "Moderate" "s" "p" 2018 "Planococcus" "Caryophanaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"727" "Pontibacillus chungwhensis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p" 2005 "Pontibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"728" "Pontibacillus litoralis" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2010 "Pontibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"729" "Pseudidiomarina homiensis" "B" 0.171115674195756 2.56673511293635 "No Class" "s" "p" 2006 "Pseudidiomarina" "Idiomarinaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"730" "Roseovarius bejariae" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2020 "Roseovarius" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"731" "Saccharospirillum salsuginis" "B" 0.171115674195756 2.56673511293635 "Moderate" "s" "p" 2009 "Saccharospirillum" "Saccharospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"732" "Salinicoccus jeotgali" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2007 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"733" "Salinithrix halophila" "B" 0.171115674195756 2.56673511293635 "No Class" "s" "p" 2014 "Salinithrix" "Thermoactinomycetaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"734" "Salipaludibacillus halalkaliphilus" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2018 "Salipaludibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"735" "Streptomonospora arabica" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2008 "Streptomonospora" "Nocardiopsidaceae" "Streptosporangiales" "Actinomycetes" "Actinomycetota" "Bacillati"
"736" "Thermohalobacter berrensis" "B" 0.342231348391513 2.56673511293635 "Moderate" "s" "p" 2000 "Thermohalobacter" "Clostridiaceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"737" "Zhihengliuella alba" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2009 "Zhihengliuella" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"738" "Nesterenkonia jeotgali" "B" 0 2.7378507871321 "Slight" "s" "p" 2006 "Nesterenkonia" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"739" "Rossellomorea marisflavi" "B" 0 2.7378507871321 "Moderate" "s" "p" 2003 "Rossellomorea" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"740" "Georgenia deserti" "B" 0 2.90896646132786 "Tolerant" "s" "p" 2018 "Georgenia" "Bogoriellaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"741" "Salinivibrio proteolyticus" "B" 0.171115674195756 2.90896646132786 "Moderate" "s" "p" 2008 "Salinivibrio" "Vibrionaceae" "Vibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"742" "Alkalibacterium gilvum" "B" 0 2.99452429842574 "Slight" "s" "p" 2013 "Alkalibacterium" "Carnobacteriaceae" " Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"743" "Halomonas dongshanensis" "B" 0.0855578370978782 3.08008213552361 "Moderate" "s" "p" 2023 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"744" "Rossellomorea aquimaris" "B" 0 3.08008213552361 "Moderate" "s" "p" 2003 "Rossellomorea" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"745" "Desulfocella halophila" "B" 0.342231348391513 3.25119780971937 "No Class" "s" "p" 1999 "Desulfocella" "Desulfobacteraceae" "Desulfobacterales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"747" "Alteromonas iocasae" "B" 0.342231348391513 3.42231348391513 "Moderate" "s" "p" 2020 "Alteromonas" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"748" "Cobetia amphilecti" "B" 0 3.42231348391513 "Tolerant" "s" "p" 2013 "Cobetia" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"749" "Halomonas arcis" "B" 0 3.42231348391513 "Tolerant" "s" "p" 2007 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"751" "Jeotgalicoccus halotolerans" "B" 0 3.42231348391513 "Moderate" "s" "p" 2003 "Jeotgalicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"752" "Marinobacter salsuginis " "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2007 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"753" "Marinobacter szutsaonensis" "B" 0 3.42231348391513 "No Class" "s" "p" 2009 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"754" "Marinococcus tarijensis" "B" 0.513347022587269 3.42231348391513 "Moderate" "s" "p" 2013 "Marinococcus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"755" "Oceanobacillus longus" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2016 "Oceanobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"756" "Paraliobacillus quinghaiensis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2009 "Paraliobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"757" "Salegentibacter salegens" "B" 0 3.42231348391513 "Moderate" "s" "p" 2000 "Salegentibacter" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"758" "Virgibacillus arcticus" "B" 0 3.42231348391513 "Moderate" "s" "p" 2009 "Virgibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"759" "Halobacillus yeomjeoni" "B" 0.0855578370978782 3.59342915811088 "No Class" "s" "p" 2005 "Halobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"760" "Virgibacillus dokdonensis" "B" 0 3.9356605065024 "Slight" "s" "p" 2005 "Virgibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"761" "Alteribacillus alkaliphilus" "B" 0.0855578370978782 4.10677618069815 "Moderate" "s" "p" 2016 "Alteribacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"762" "Halomonas boliviensis" "B" 0 4.27789185489391 "Moderate" "s" "p" 2004 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"763" "Idiomarina fontislapidosi" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2004 "Idiomarina" "Idiomarinaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"764" "Kushneria avicenniae" "B" 0 4.27789185489391 "Moderate" "s" "p" 2007 "Kushneria" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"765" "Methanobacterium oryzae" "A" 0 0.427789185489391 "Tolerant" "s" "g" 2000 "Methanobacterium" "Methanobacteriaceae" "Methanobacteriales" "Methanobacteria" "Methanobacteriota" "Methanobacteriati"
"766" "Salinicola tamaricis" "B" 0 4.27789185489391 "Moderate" "s" "p" 2017 "Salinicola" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"767" "Desulfovibrio subterraneus" "B" 0 0.684462696783025 "Tolerant" "s" "g" 2021 "Desulfovibrio" "Desulfovibrionaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"768" "Fusibacter bizertensis" "B" 0 0.855578370978782 "Tolerant" "s" "g" 2015 "Fusibacter" "Incertae sedis" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"769" "Acetoanaerobium pronyense" "B" 0 1.19780971937029 "Tolerant" "s" "g" 2015 "Acetoanaerobium" "Peptostreptococcaceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"770" "Anaerosalibacter bizertensis" "B" 0 1.71115674195756 "Tolerant" "s" "g" 2012 "Anaerosalibacter" "Tissierellaceae" "Tissierellales" "Clostridia" "Bacillota" "Bacillati"
"772" "Haloarcula sebkhae" "A" 1.7 5.1 "Extreme" "s" "m" 2019 "Haloarcula" "Haloarculaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"773" "Halorubrum tebenquichense" "A" 2.5 5.2 "Extreme" "s" "m" 2002 "Halorubrum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"774" "Rhizobium halophytocola" "B" 0 1.28336755646817 "No Class" "s" "p" 2012 "Rhizobium" "Rhizobiaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"775" "Paracoccus haeundaensis" "B" 0 1.36892539356605 "No Class" "s" "p" 2004 "Paracoccus" "Paracoccaceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"776" "Spirochaeta asiatica" "B" 0.342231348391513 1.36892539356605 "No Class" "s" "p" 1996 "Spirochaeta" "Spirochaetaceae" "Spirochaetales" "Spirochaetia" "Spirochaetota" "Pseudomonadati"
"777" "Marisediminitalea mangrovi" "B" 0.171115674195756 1.54004106776181 "Slight" "s" "p" 2020 "Marisediminitalea" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"778" "Aequorivita iocasae" "B" 0.171115674195756 1.71115674195756 "Moderate" "s" "p" 2022 "Aequorivita" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"780" "Limihaloglobus sulfuriphilus" "B" 0.513347022587269 1.71115674195756 "Moderate" "s" "p" 2020 "Limihaloglobus" "Sedimentisphaeraceae" "Sedimentisphaerales" "Phycisphaerae" "Planctomycetota" "Pseudomonadati"
"781" "Oleiagrimonas soli" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p" 2015 "Oleiagrimonas" "Rhodanobacteraceae" "Lysobacterales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"782" "Pseudoalteromonas peptidolytica" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p" 2000 "Pseudoalteromonas" "Pseudoalteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"783" "Anaerophaga thermohalophila" "B" 0.342231348391513 2.05338809034908 "No Class" "s" "p" 2002 "Anaerophaga" "Marinilabiliaceae" "Bacteroidales" "Bacteroidia" "Bacteroidota" "Pseudomonadati"
"784" "Marinobacter algicola" "B" 0.171115674195756 2.05338809034908 "Moderate" "s" "p" 2006 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"785" "Mesobacillus rigiliprofundi" "B" 0 2.05338809034908 "Moderate" "s" "p" 2015 "Mesobacillus" "Cytobacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"786" "Aliidiomarina halalkaliphila" "B" 0 2.22450376454483 "No Class" "s" "p" 2022 "Aliidiomarina" "Idiomarinaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"787" "Halomonas antri" "B" 0 2.22450376454483 "Moderate" "s" "p" 2022 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"788" "Alkalicaulis satelles" "B" 0 2.39561943874059 "Moderate" "s" "p" 2021 "Alkalicaulis" "Maricaulaceae" "Caulobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"789" "Bacillus isabeliae" "B" 0.171115674195756 2.39561943874059 "No Class" "s" "p" 2008 "Bacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"790" "Desulfohalotomaculum halophilum" "B" 0.171115674195756 2.39561943874059 "Moderate" "s" "p" 1998 "Desulfohalotomaculum" "Peptococcaceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"791" "Methylarcula terricola" "B" 0.00855578370978782 2.39561943874059 "Moderate" "s" "p" 2000 "Methylarcula" "Paracoccaceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"792" "Halomonas halocynthiae" "B" 0.0855578370978782 2.56673511293635 "Slight" "s" "p" 2002 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"793" "Marinobacter salinus" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2017 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"794" "Roseovarius salinarum" "B" 0.342231348391513 2.56673511293635 "No Class" "s" "p" 2018 "Roseovarius" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"795" "Salirhabdus euzebyi" "B" 0 2.7378507871321 "Tolerant" "s" "p" 2007 "Salirhabdus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"796" "Garicola koreensis" "B" 0.171115674195756 2.90896646132786 "Moderate" "s" "p" 2015 "Garicola" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"797" "Oceanidesulfovibrio gabonensis" "B" 0.171115674195756 2.90896646132786 "Moderate" "s" "p" 1996 "Oceanidesulfovibrio" "Desulfovibrionaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"798" "Marinobacter daepoensis" "B" 0 3.08008213552361 "Slight" "s" "p" 2004 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"799" "Marinobacter halodurans" "B" 0.171115674195756 3.08008213552361 "No Class" "s" "p" 2020 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"800" "Marinobacter vulgaris" "B" 0.0855578370978782 3.08008213552361 "Moderate" "s" "p" 2020 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"801" "Salibacter halophilus" "B" 0.342231348391513 3.08008213552361 "No Class" "s" "p" 2017 "Salibacter" "Cryomorphaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"802" "Thalassococcus halodurans" "B" 0.342231348391513 3.08008213552361 "Tolerant" "s" "p" 2007 "Thalassococcus" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"803" "Salipiger profundus" "B" 0 3.25119780971937 "Moderate" "s" "p" 2015 "Salipiger" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"804" "Kushneria phosphatilytica" "B" 0.0855578370978782 3.42231348391513 "No Class" "s" "p" 2021 "Kushneria" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"805" "Larsenimonas suaedae" "B" 0.102669404517454 3.42231348391513 "Moderate" "s" "p" 2016 "Larsenimonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"806" "Lentibacillus sediminis" "B" 0.171115674195756 3.42231348391513 "Moderate" "s" "p" 2017 "Lentibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"807" "Marinobacter flavimaris" "B" 0 3.42231348391513 "Slight" "s" "p" 2004 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"808" "Marinobacter vinifirmus" "B" 0 3.42231348391513 "Moderate" "s" "p" 2006 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"809" "Natronospirillum operosum" "B" 0.171115674195756 3.42231348391513 "No Class" "s" "p" 2020 "Natronospirillum" "Natronospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"810" "Profundibacterium mesophilum" "B" 0.0855578370978782 3.42231348391513 "Slight" "s" "p" 2013 "Profundibacterium" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"811" "Halomonas litopenaei" "B" 0.0855578370978782 3.76454483230664 "Moderate" "s" "p" 2018 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"812" "Halobacillus kuroshimensis" "B" 0.0855578370978782 4.27789185489391 "Moderate" "s" "p" 2007 "Halobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"814" "Alkalicoccus urumqiensis" "B" 0.222450376454483 4.32922655715264 "Moderate" "s" "p" 2016 "Alkalicoccus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"817" "Oceanibaculum indicum" "B" 0 1.54004106776181 "Moderate" "s" "p" 2009 "Oceanibaculum" "Thalassobaculaceae" "Rhodospirillales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"818" "Gillisia lutea" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p" 2023 "Gillisia" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"819" "Halalkalibacter kiskunsagensis" "B" 0.855578370978782 1.71115674195756 "Moderate" "s" "p" 2017 "Halalkalibacter" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"820" "Nitrincola alkalilacustris" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2017 "Nitrincola" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"821" "Nitrincola schmidtii" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2017 "Nitrincola" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"822" "Paralkalibacillus indicireducens" "B" 0 1.71115674195756 "No Class" "s" "p" 2017 "Paralkalibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"823" "Spirochaeta africana" "B" 0.513347022587269 1.71115674195756 "No Class" "s" "p" 1996 "Spirochaeta" "Spirochaetaceae" "Spirochaetales" "Spirochaetia" "Spirochaetota" "Pseudomonadati"
"824" "Sulfitobacter litoralis" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p" 2007 "Sulfitobacter" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"825" "Bacterioplanoides pacificum" "B" 0 1.88227241615332 "Tolerant" "s" "p" 2016 "Bacterioplanoides" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"826" "Sediminispirochaeta sinaica" "B" 0.342231348391513 2.05338809034908 "No Class" "s" "p" 2015 "Sediminispirochaeta" "Spirochaetaceae" "Spirochaetales" "Spirochaetia" "Spirochaetota" "Pseudomonadati"
"827" "Alteribacter aurantiacus" "B" 0 2.56673511293635 "Moderate" "s" "p" 2008 "Alteribacter" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"828" "Marinobacter maroccanus" "B" 0.342231348391513 2.56673511293635 "Moderate" "s" "p" 2019 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
